-1.0  2.78  3.459  4.438  4.438  4.791  5.382  5.382  5.382  6.0  6.0  7.0  7.0  7.618  7.618  7.618  8.562  8.562  9.065  9.541  11.365
-0.8  2.651  3.373  4.36  4.36  4.667  5.323  5.323  5.323  6.0  6.0  6.8  6.8  7.477  7.477  7.477  8.439  8.439  8.854  9.426  11.026
-0.6  2.512  3.285  4.278  4.278  4.528  5.256  5.256  5.256  6.0  6.0  6.6  6.6  7.344  7.344  7.344  8.323  8.323  8.639  9.315  10.723
-0.4  2.358  3.193  4.19  4.19  4.369  5.18  5.18  5.18  6.0  6.0  6.4  6.4  7.219  7.219  7.219  8.21  8.21  8.42  9.206  10.452
-0.2  2.189  3.098  4.097  4.097  4.193  5.095  5.095  5.095  6.0  6.0  6.2  6.2  7.105  7.105  7.105  8.102  8.102  8.206  9.102  10.212
0.0  2.0  3.0  4.0  4.0  4.0  5.0  5.0  5.0  6.0  6.0  6.0  7.0  7.0  7.0  7.0  8.0  8.0  8.0  9.0  10.0
0.2  1.788  2.899   3.898   3.898 3.794 4.895  4.895  4.895    6.0  6.0 5.8  5.8 6.905  6.905  6.905 7.903  7.903  7.808   8.902  9.811
0.4  1.548  2.793    3.79  3.79 3.579 4.78  4.78  4.78    6.0  6.0 5.6  5.6 6.82  6.82  6.82  7.81  7.81 7.631   8.807  9.642
0.6  1.277  2.685    3.677  3.677 3.361 4.656  4.656  4.656   6.0  6.0  5.4  5.4 6.744  6.744  6.744 7.722  7.722 7.472    8.715  9.488
0.8  0.974  2.574    3.561  3.561 3.146 4.523  4.523  4.523   6.0  6.0  5.2  5.2 6.677  6.677  6.677  7.64  7.64 7.333    8.627  9.349
1.0  0.636  2.459    3.439  3.439 2.936 4.382  4.382  4.382   6.0  6.0  5.0  5.0 6.618  6.618  6.618 7.562  7.562  7.209   8.542  9.221
